"sample_id","redcap_repeat_instance","ngs_runid","duplicate_id","ngs_rundate","ngs_location","ngs_provider","ngs_submission","ngs_platform","primer_scheme","primer_scheme_version","nanopore_platform","ngs_flowcell","illumina_platform","ngs_prep","ngs_barcode","ngs_library","ngs_analysis_type","ngs_merged_from","total_reads","mapped_reads","mean_depth","stdev_depth","median_depth","minimum_reads","maximum_reads","genomecov_depthx1","genomecov_depthx5","genomecov_depthx20","genomecov_depthx100","negative_control_sample","genbank_accession","consensus_coverage","consensus_fasta","ngs_notes","sample_labid","sample_sequenceid","sample_batchid","apha_sub","apha_rv","sample_tissuetype","sample_buffer","country","hmpcr_n405","rtassay","rtqpcr","lateral_flow_test","fat","drit","diagnostic_result","test_centre","diag_notes","genome_length","coverage_percent","qc_status"
"SD578","1","NGSMay18","1","5/1/18","APHA",NA,"BTF856","Illumina",NA,NA,NA,NA,"Nextseq 500",NA,NA,NA,"Single run",NA,"1999408","0","0","0","0","0",NA,NA,NA,NA,NA,"No",NA,0,NA,NA,"SUB7117","SUB7117","16-Nov","SUB7117",NA,"Brain","Unknown","TZA: Tanzania","NA","SYBR","36.46","NA","NA","NA","Negative","APHA",NA,11923,0,"Low coverage"
"SD579","1","NGSMay18","1","5/1/18","APHA",NA,"BTF856","Illumina",NA,NA,NA,NA,"Nextseq 500",NA,NA,NA,"Single run",NA,"2739048","124954","2155.559171","801.5881228","1995","0","4882","11903","11899","11849","11822","No",NA,99.79870838,NA,NA,"SUB7118","SUB7118","16-Nov","SUB7118",NA,"Brain","Unknown","TZA: Tanzania","NA","SYBR","28.83","NA","NA","NA","Positive","APHA",NA,11923,0.837026825295647,"Low coverage"
"SD580","1","NGSMay18","1","5/1/18","APHA",NA,"BTF856","Illumina",NA,NA,NA,NA,"Nextseq 500",NA,NA,NA,"Single run",NA,"2255958","16408","334.313344","146.4934828","307","0","1026","11899","11840","11828","11745","No",NA,99.30386648,NA,NA,"SUB7119","SUB7119","16-Nov","SUB7119",NA,"Brain","Unknown","TZA: Tanzania","NA","SYBR","24.94","NA","NA","NA","Positive","APHA",NA,11923,0.832876511616204,"Low coverage"
"SD580.sg","1","NGSMay18","1","5/1/18","APHA",NA,"BTF856","Illumina",NA,NA,NA,NA,"Nextseq 500",NA,NA,NA,"Single run",NA,"1820043","0","0","0","0","0",NA,NA,NA,NA,NA,"No",NA,0,NA,"SD580.2","SUB7120","SUB7120","16-Nov","SUB7120",NA,"Salivary_gland","Unknown","TZA: Tanzania","NA","SYBR","28.61","NA","NA","NA","Positive","APHA",NA,11923,0,"Low coverage"
"SD582","1","NGSMay18","1","5/1/18","APHA",NA,"BTF856","Illumina",NA,NA,NA,NA,"Nextseq 500",NA,NA,NA,"Single run",NA,"1685286","1684","38.82932148","18.47034482","35","0","92","11826","11715","10606","0","No",NA,98.25547262,NA,NA,"SUB7121","SUB7121","16-Nov","SUB7121",NA,"Brain","Unknown","TZA: Tanzania","NA","Unknown","14.95","NA","NA","NA","Positive","APHA",NA,11923,0.82408347412564,"Low coverage"
"SD583","1","NGSMay18","1","5/1/18","APHA",NA,"BTF856","Illumina",NA,NA,NA,NA,"Nextseq 500",NA,NA,NA,"Single run",NA,"2272077","8002","177.1595236","68.68437777","167","0","365","11873","11857","11742","10791","No",NA,99.44644804,NA,NA,"SUB7122","SUB7122","16-Nov","SUB7122",NA,"Brain","Unknown","TZA: Tanzania","NA","Unknown","24.27","NA","NA","NA","Positive","APHA",NA,11923,0.83407236467332,"Low coverage"
"SD584","1","NGSMay18","1","5/1/18","APHA",NA,"BTF856","Illumina",NA,NA,NA,NA,"Nextseq 500",NA,NA,NA,"Single run",NA,"3708366","1072","23.85129581","8.293705548","24","0","51","11852","11736","8378","0","No",NA,98.43160278,NA,NA,"SUB7123","SUB7123","16-Nov","SUB7123",NA,"Brain","Unknown","TZA: Tanzania","NA","SYBR","24.27","NA","NA","NA","Positive","APHA",NA,11923,0.825560704352931,"Low coverage"
"SD585","1","NGSMay18","1","5/1/18","APHA",NA,"BTF856","Illumina",NA,NA,NA,NA,"Nextseq 500",NA,NA,NA,"Single run",NA,"3057246","7","0.156168749","0.576566216","0","0","5","1006","31","0","0","No",NA,0.260001677,NA,NA,"SUB7124","SUB7124","16-Nov","SUB7124",NA,"Brain","Unknown","TZA: Tanzania","NA","Unknown","21.59","NA","NA","NA","Positive","APHA",NA,11923,0.00218067329531158,"Low coverage"
"SD586","1","NGSMay18","1","5/1/18","APHA",NA,"BTF856","Illumina",NA,NA,NA,NA,"Nextseq 500",NA,NA,NA,"Single run",NA,"1486072","265","6.147529984","3.375453082","6","0","19","11631","7812","0","0","No",NA,65.52042271,NA,NA,"SUB7125","SUB7125","16-Nov","SUB7125",NA,"Brain","Unknown","TZA: Tanzania","NA","SYBR","28.38","NA","NA","NA","Positive","APHA",NA,11923,0.549529671307557,"Low coverage"
"SD587","1","NGSMay18","1","5/1/18","APHA",NA,"BTF856","Illumina",NA,NA,NA,NA,"Nextseq 500",NA,NA,NA,"Single run",NA,"1780088","2921","67.01459364","29.35949862","64","0","169","11848","11746","11559","1760","No",NA,98.51547429,NA,NA,"SUB7126","SUB7126","16-Nov","SUB7126",NA,"Brain","Unknown","TZA: Tanzania","NA","SYBR","27.74","NA","NA","NA","Positive","APHA",NA,11923,0.826264147362241,"Low coverage"
